input,group,layout,format,referenceComplete,exact,status,total,seconds,manualCorrections,risks,differences
S01,frozen-regression,色块内色号、数量在下,JPEG,True,True,partial,2499,1.729,0,23,{}
S02,frozen-regression,色号与括号数量同条,JPEG,True,True,partial,915,0.188,0,1,{}
S03,frozen-regression,色号与括号数量同条,WEBP,False,False,partial,25250,0.9,0,13,{}
S04,frozen-regression,色号色块右侧数量,WEBP,True,True,partial,1936,0.424,0,2,{}
S05,frozen-regression,色号与括号数量同条,WEBP,True,True,partial,3327,0.718,0,13,{}
S06,development,色号色块右侧数量,WEBP,True,True,partial,1123,0.264,0,2,{}
S07,frozen-regression,色号与括号数量同条,WEBP,True,True,partial,882,0.239,0,3,{}
S08,frozen-regression,色号与括号数量同条,WEBP,True,True,partial,1339,0.248,0,3,{}
S09,frozen-regression,色块内色号、数量在下,WEBP,True,True,partial,1144,0.293,0,4,{}
S10,frozen-regression,色块内色号、数量在下,WEBP,True,True,partial,1143,0.304,0,2,{}
S11,development,色块内色号、数量在下,WEBP,True,True,partial,943,0.16,0,2,{}
S12,frozen-regression,色块内色号、数量在下,WEBP,True,True,partial,943,0.15,0,2,{}
S13,frozen-regression,色块内色号、数量在下,WEBP,True,True,partial,3842,3.836,0,29,{}
S14,frozen-regression,色号色块右侧数量,WEBP,True,True,partial,3262,0.661,0,4,{}
S15,frozen-regression,色号色块右侧数量,WEBP,True,True,partial,1273,2.068,0,4,{}
S16,frozen-regression,色号色块右侧数量,JPEG,True,True,partial,2226,0.508,0,4,{}
S17,frozen-regression,色号与括号数量同条,JPEG,True,True,partial,931,0.233,0,1,{}
S18,development,色号与括号数量同条；第二行单独 H7,PNG,True,True,ready,148,1.128,0,0,{}
S17-png,frozen-regression,色号与括号数量同条,PNG,True,True,partial,931,0.258,0,1,{}
S17-jpg,frozen-regression,色号与括号数量同条,JPEG,True,True,partial,931,0.235,0,2,{}
S17-webp,frozen-regression,色号与括号数量同条,WEBP,True,True,partial,931,0.242,0,4,{}
S04-png,frozen-regression,色号色块右侧数量,PNG,True,True,partial,1936,0.426,0,2,{}
S04-jpg,frozen-regression,色号色块右侧数量,JPEG,True,True,partial,1936,0.492,0,2,{}
S04-webp,frozen-regression,色号色块右侧数量,WEBP,True,True,partial,1936,0.499,0,1,{}
S01-png,frozen-regression,色块内色号、数量在下,PNG,True,True,partial,2499,1.775,0,23,{}
S01-jpg,frozen-regression,色块内色号、数量在下,JPEG,True,True,partial,2499,1.863,0,25,{}
S01-webp,frozen-regression,色块内色号、数量在下,WEBP,True,True,partial,2499,1.795,0,26,{}
