# MARD 221 参考色值（社区来源，非官方屏幕参考色）
# 本表不是 MARD 品牌方发布的官方色值，不得作为需求书中的"官方精确色值"或验收依据。
# 直接来源: https://github.com/HansBug/pindou-color-data/tree/main/mard-221-github (colors.json, 2026-05-19)
# 上游来源: https://git.xiongxiao.me/abearxiong/get-colors-from-beans (第三方公开仓库)
# 取得日期: 2026-09-15；色号集合与用户提供 MARD221 色卡示意图一致（9 系 221 色）。
code,group,hex,r,g,b
A1,A,#FAF5CD,250,245,205
A2,A,#FCFED6,252,254,214
A3,A,#FCFF92,252,255,146
A4,A,#F7EC5C,247,236,92
A5,A,#FFE44B,255,228,75
A6,A,#FDA951,253,169,81
A7,A,#FA8C4F,250,140,79
A8,A,#F9E045,249,224,69
A9,A,#F99C5F,249,156,95
A10,A,#F47E36,244,126,54
A11,A,#FEDB99,254,219,153
A12,A,#FDA276,253,162,118
A13,A,#FEC667,254,198,103
A14,A,#F85842,248,88,66
A15,A,#FBF65E,251,246,94
A16,A,#FEFF97,254,255,151
A17,A,#FDE173,253,225,115
A18,A,#FCBF80,252,191,128
A19,A,#FD7E77,253,126,119
A20,A,#F9D66E,249,214,110
A21,A,#FAE393,250,227,147
A22,A,#EDF878,237,248,120
A23,A,#E1C9BD,225,201,189
A24,A,#F3F6A9,243,246,169
A25,A,#FFD785,255,215,133
A26,A,#FEC832,254,200,50
B1,B,#DFF139,223,241,57
B2,B,#64F343,100,243,67
B3,B,#9FF685,159,246,133
B4,B,#5FDF34,95,223,52
B5,B,#39E158,57,225,88
B6,B,#64E0A4,100,224,164
B7,B,#3FAE7C,63,174,124
B8,B,#1D9E54,29,158,84
B9,B,#2A5037,42,80,55
B10,B,#9AD1BA,154,209,186
B11,B,#627032,98,112,50
B12,B,#1A6E3D,26,110,61
B13,B,#C8E87D,200,232,125
B14,B,#ACE84C,172,232,76
B15,B,#305335,48,83,53
B16,B,#C0ED9C,192,237,156
B17,B,#9EB33E,158,179,62
B18,B,#E6ED4F,230,237,79
B19,B,#26B78E,38,183,142
B20,B,#CAEDCF,202,237,207
B21,B,#176268,23,98,104
B22,B,#0A4241,10,66,65
B23,B,#343B1A,52,59,26
B24,B,#E8FAA6,232,250,166
B25,B,#4E846D,78,132,109
B26,B,#907C35,144,124,53
B27,B,#D0E0AF,208,224,175
B28,B,#9EE5BB,158,229,187
B29,B,#C6DF5F,198,223,95
B30,B,#E3FBB1,227,251,177
B31,B,#B2E694,178,230,148
B32,B,#92AD60,146,173,96
C1,C,#E8FFE7,232,255,231
C2,C,#ABF8FE,171,248,254
C3,C,#9EE0F8,158,224,248
C4,C,#44CDFB,68,205,251
C5,C,#06ABE3,6,171,227
C6,C,#54A7E9,84,167,233
C7,C,#3977CC,57,119,204
C8,C,#0F52BD,15,82,189
C9,C,#3349C3,51,73,195
C10,C,#3DBBE3,61,187,227
C11,C,#2ADED3,42,222,211
C12,C,#1E334E,30,51,78
